"Variable","Language","Translation"
"Status","English","launched on market"
"Status","English","maturity"
"Status","English","experimentation"
"Status","English","applied research"
"Status","English","basic research"
"Sector","English","artificial intelligence"
"Sector","English","communication"
"Sector","English","data"
"Sector","English","infrastructure"
"Sector","English","smart farming"
"Status","German","auf den markt gebracht"
"Status","German","reife"
"Status","German","experimentierung"
"Status","German","angewandte Forschung"
"Status","German","grundlagenforschung"
"Sector","German","künstliche intelligenz"
"Sector","German","kommunikation"
"Sector","German","daten"
"Sector","German","infrastruktur"
"Sector","German","smart farming"
"Status","French","lancé sur le marché"
"Status","French","maturité"
"Status","French","expérimentation"
"Status","French","recherche appliquée"
"Status","French","recherche fondamentale"
"Sector","French","intelligence artificielle"
"Sector","French","communication"
"Sector","French","données"
"Sector","French","infrastructure"
"Sector","French","smart farming"
"Status","Italian","lanciato sul mercato"
"Status","Italian","maturità"
"Status","Italian","sperimentazione"
"Status","Italian","ricerca applicata"
"Status","Italian","ricerca di base"
"Sector","Italian","intelligenza artificiale"
"Sector","Italian","comunicazione"
"Sector","Italian","dati"
"Sector","Italian","infrastruttura"
"Sector","Italian","smart farming"
