"Name";"Sector";"Status";"Description";"Relevance";"Link";"Example_URL";"Example_Name";"phi";"R"
"Superintelligenza";"intelligenza artificiale";"ricerca di base";"Un agente o sistema ipotetico che possiede un'intelligenza molto superiore a quella degli esseri umani più brillanti e dotati, in quasi tutti i domini di interesse.";2;"";"";"";-1.5707963267949;2
"*AGI*";"intelligenza artificiale";"ricerca applicata";"Acronimo per intelligenza artificiale generale. Un ipotetico tipo di agente intelligente che può imparare a svolgere qualsiasi compito intellettuale che gli esseri umani possono eseguire.";3;"";"";"";-1.68262305476984;1.75
"Traduzione del discorso in tempo reale";"intelligenza artificiale";"ricerca applicata";"Strumenti che permettono di tradurre all'istante il discorso da una lingua all'altra.";3;"";"https://speechtrans.com/";"SpeechTrans";-1.33302808337985;1.75
"*AutoML*";"intelligenza artificiale";"sperimentazione";"In acronimo per Automated Machine Learning, si riferisce al processo di selezione automatica e di ottimizzazione *fine-tuning* dei modelli di *machine learning*.";2;"Permette un adattamento di modello economico ovunque siano disponibili piccoli set di dati.";"https://cran.r-project.org/web/packages/automl/";"R package automl";-1.58528030760417;1.5
"Testo-alla-parola";"intelligenza artificiale";"sperimentazione";"Software che genera discorsi da testi scritti che suonano come (interessanti) esseri umani.";2;"";"https://platform.openai.com/docs/guides/text-to-speech";"OpenAIÕs TTS";-1.39779986926281;1.5
"Modelli Linguistici di Grande Dimensione";"intelligenza artificiale";"lanciato sul mercato";"Sistemi di intelligenza artificiale che sono in grado di generare testi scritti in maniera *human-like*.";5;"Gli LLMs possono aiutare con la traduzione, la riformulazione, il brainstorming e molto altro ancora.";"https://chat.openai.com/";"ChatGPT";-1.79764288557585;1.25
"Riconoscimento Facciale";"intelligenza artificiale";"lanciato sul mercato";"Software che può misurare la somiglianza dei volti da immagini o video, riconoscendo così i volti.";1;"";"https://pimeyes.com/";"PimEyes";-1.57327281861967;1.25
"Modelli di Diffusione *Latent*";"intelligenza artificiale";"lanciato sul mercato";"Modelli che generano immagini arbitrarie da input di testo, immagini o parametri.";2;"Questo potrebbe essere utile per trovare immagini *perfectly fitting* per le presentazioni.";"https://www.midjourney.com/";"Midjourney";-1.32028590286755;1.25
"Da discorso a testo";"intelligenza artificiale";"lanciato sul mercato";"Modelli di *machine learning* che convertono il discorso di varie lingue in testo.";3;"Potrebbe essere utilizzato per la scrittura automatica del *protocol*.";"https://openai.com/research/whisper";"Whisper";-1.42792303153038;1.25
"Grandi Modelli Multimodali";"intelligenza artificiale";"lanciato sul mercato";"Sistemi avanzati di intelligenza artificiale che possono elaborare informazioni provenienti da diversi tipi di dati, come testo, immagini, audio e video, utilizzando potenti modelli di linguaggio *pre-addestrati* come componente principale.";3;"";"https://openai.com/blog/chatgpt-can-now-see-hear-and-speak";"GPT-4";-1.68703634998263;1.25
"Traduzione Automatica";"intelligenza artificiale";"maturità";"Software che traduce automaticamente il testo da una lingua all'altra.";3;"Tale software può rendere molto più fattibile la pubblicazione di contenuti in tutte le lingue nazionali.";"https://deepl.com/";"Deepl";-1.5707963267949;1
"Gestione e Monitoraggio dei *Social Media*";"comunicazione";"ricerca applicata";"Monitorare, analizzare e rispondere ai contenuti sulle piattaforme di social media per gestire la presenza e la reputazione online di un'organizzazione o di un individuo.";4;"";"";"";-0.785398163397448;1.75
